train_sigma,seed,method,epoch,train_loss,val_loss
train_sigma_0.01,seed123,pinn_log_rician,49,0.11794466901500353,0.1546337604522705
train_sigma_0.01,seed123,pinn_log_rician,50,0.11773243887456716,0.15395919978618622
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,1,0.703519797738989,0.47648322582244873
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,2,0.5722057459619023,0.4175639748573303
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,3,0.5075221069520531,0.42758917808532715
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,4,0.4448564616841587,0.4281548857688904
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,5,0.3494714023674911,0.33896446228027344
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,6,0.1942153333717968,0.21692456305027008
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,7,0.16493255313184674,0.2654462158679962
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,8,0.1551899440866633,0.23759174346923828
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,9,0.15181323491736912,0.23745378851890564
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,10,0.1487411226178024,0.23556369543075562
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,11,0.14600972899550588,0.23226240277290344
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,12,0.14335427549614227,0.22539710998535156
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,13,0.14083190837576845,0.22120234370231628
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,14,0.1382384940607074,0.21786107122898102
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,15,0.13589062533402974,0.21281388401985168
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,16,0.13331181201034678,0.20702290534973145
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,17,0.1309352181632466,0.20054522156715393
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,18,0.12860797007344096,0.19287484884262085
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,19,0.12666790335112926,0.1856938898563385
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,20,0.12474558594647607,0.1813901662826538
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,21,0.1230588299931385,0.17748360335826874
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,22,0.1219627939471054,0.17251496016979218
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,23,0.12114424930547375,0.1683054119348526
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,24,0.1206496600230972,0.1669030636548996
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,25,0.12018400885171672,0.16738295555114746
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,26,0.11989975497474557,0.1662079244852066
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,27,0.11969285343831762,0.16849076747894287
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,28,0.11940186957462472,0.16723617911338806
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,29,0.11916584436177764,0.1671392172574997
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,30,0.11893083729554077,0.16923028230667114
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,31,0.11870565369870813,0.16841977834701538
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,32,0.11848969938839225,0.16960731148719788
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,33,0.11826503628638231,0.1678122878074646
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,34,0.11806424595654451,0.16774550080299377
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,35,0.11787890629085825,0.17146004736423492
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,36,0.11766287799889698,0.17058275640010834
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,37,0.11740996529170694,0.17243412137031555
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,38,0.11723703640353997,0.1703273504972458
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,39,0.11701008985178482,0.1720070242881775
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,40,0.11677717808834405,0.17216861248016357
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,41,0.11654984881686202,0.17375607788562775
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,42,0.11631931286085953,0.17501422762870789
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,43,0.11607916943990734,0.17489570379257202
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,44,0.1158836308475646,0.17573049664497375
